,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,gdp_for_year ($) ,gdp_per_capita ($),generation,region,HDI
0,Albania,1987,male,15-24 years,21,312900,6.71,Albania1987,2156624900,796,Generation X,Europe,
1,Albania,1987,male,35-54 years,16,308000,5.19,Albania1987,2156624900,796,Silent,Europe,
2,Albania,1987,female,15-24 years,14,289700,4.83,Albania1987,2156624900,796,Generation X,Europe,
3,Albania,1987,male,75+ years,1,21800,4.59,Albania1987,2156624900,796,G.I. Generation,Europe,
4,Albania,1987,male,25-34 years,9,274300,3.28,Albania1987,2156624900,796,Boomers,Europe,
5,Albania,1987,female,75+ years,1,35600,2.81,Albania1987,2156624900,796,G.I. Generation,Europe,
6,Albania,1987,female,35-54 years,6,278800,2.15,Albania1987,2156624900,796,Silent,Europe,
7,Albania,1987,female,25-34 years,4,257200,1.56,Albania1987,2156624900,796,Boomers,Europe,
8,Albania,1987,male,55-74 years,1,137500,0.73,Albania1987,2156624900,796,G.I. Generation,Europe,
9,Albania,1987,female,5-14 years,0,311000,0.0,Albania1987,2156624900,796,Generation X,Europe,
10,Albania,1987,female,55-74 years,0,144600,0.0,Albania1987,2156624900,796,G.I. Generation,Europe,
11,Albania,1987,male,5-14 years,0,338200,0.0,Albania1987,2156624900,796,Generation X,Europe,
12,Albania,1988,female,75+ years,2,36400,5.49,Albania1988,2126000000,769,G.I. Generation,Europe,
13,Albania,1988,male,15-24 years,17,319200,5.33,Albania1988,2126000000,769,Generation X,Europe,
14,Albania,1988,male,75+ years,1,22300,4.48,Albania1988,2126000000,769,G.I. Generation,Europe,
15,Albania,1988,male,35-54 years,14,314100,4.46,Albania1988,2126000000,769,Silent,Europe,
16,Albania,1988,male,55-74 years,4,140200,2.85,Albania1988,2126000000,769,G.I. Generation,Europe,
17,Albania,1988,female,15-24 years,8,295600,2.71,Albania1988,2126000000,769,Generation X,Europe,
18,Albania,1988,female,55-74 years,3,147500,2.03,Albania1988,2126000000,769,G.I. Generation,Europe,
19,Albania,1988,female,25-34 years,5,262400,1.91,Albania1988,2126000000,769,Boomers,Europe,
20,Albania,1988,male,25-34 years,5,279900,1.79,Albania1988,2126000000,769,Boomers,Europe,
21,Albania,1988,female,35-54 years,4,284500,1.41,Albania1988,2126000000,769,Silent,Europe,
22,Albania,1988,female,5-14 years,0,317200,0.0,Albania1988,2126000000,769,Generation X,Europe,
23,Albania,1988,male,5-14 years,0,345000,0.0,Albania1988,2126000000,769,Generation X,Europe,
24,Albania,1989,male,75+ years,2,22500,8.89,Albania1989,2335124988,833,G.I. Generation,Europe,
25,Albania,1989,male,25-34 years,18,283600,6.35,Albania1989,2335124988,833,Boomers,Europe,
26,Albania,1989,male,35-54 years,15,318400,4.71,Albania1989,2335124988,833,Silent,Europe,
27,Albania,1989,male,55-74 years,6,142100,4.22,Albania1989,2335124988,833,G.I. Generation,Europe,
28,Albania,1989,male,15-24 years,12,323500,3.71,Albania1989,2335124988,833,Generation X,Europe,
29,Albania,1989,female,35-54 years,7,288600,2.43,Albania1989,2335124988,833,Silent,Europe,
30,Albania,1989,female,15-24 years,5,299900,1.67,Albania1989,2335124988,833,Generation X,Europe,
31,Albania,1989,female,25-34 years,2,266300,0.75,Albania1989,2335124988,833,Boomers,Europe,
32,Albania,1989,female,55-74 years,1,149600,0.67,Albania1989,2335124988,833,G.I. Generation,Europe,
33,Albania,1989,female,5-14 years,0,321900,0.0,Albania1989,2335124988,833,Generation X,Europe,
34,Albania,1989,female,75+ years,0,37000,0.0,Albania1989,2335124988,833,G.I. Generation,Europe,
35,Albania,1989,male,5-14 years,0,349700,0.0,Albania1989,2335124988,833,Generation X,Europe,
36,Albania,1992,male,35-54 years,12,343800,3.49,Albania1992,709452584,251,Boomers,Europe,
37,Albania,1992,male,15-24 years,9,263700,3.41,Albania1992,709452584,251,Generation X,Europe,0.608
38,Albania,1992,male,55-74 years,5,159500,3.13,Albania1992,709452584,251,Silent,Europe,0.608
39,Albania,1992,male,25-34 years,7,245500,2.85,Albania1992,709452584,251,Boomers,Europe,0.608
40,Albania,1992,female,15-24 years,7,292400,2.39,Albania1992,709452584,251,Generation X,Europe,0.608
41,Albania,1992,female,25-34 years,4,267400,1.5,Albania1992,709452584,251,Boomers,Europe,0.608
42,Albania,1992,female,35-54 years,2,323100,0.62,Albania1992,709452584,251,Boomers,Europe,0.608
43,Albania,1992,female,55-74 years,1,164900,0.61,Albania1992,709452584,251,Silent,Europe,0.608
44,Albania,1992,female,5-14 years,0,336700,0.0,Albania1992,709452584,251,Millenials,Europe,0.608
45,Albania,1992,female,75+ years,0,38700,0.0,Albania1992,709452584,251,G.I. Generation,Europe,0.608
46,Albania,1992,male,5-14 years,0,362900,0.0,Albania1992,709452584,251,Millenials,Europe,0.608
47,Albania,1992,male,75+ years,0,23900,0.0,Albania1992,709452584,251,G.I. Generation,Europe,0.608
48,Albania,1993,male,15-24 years,18,243300,7.4,Albania1993,1228071038,437,Generation X,Europe,0.611
49,Albania,1993,male,55-74 years,7,165000,4.24,Albania1993,1228071038,437,Silent,Europe,0.611
50,Albania,1993,male,75+ years,1,24200,4.13,Albania1993,1228071038,437,G.I. Generation,Europe,0.611
51,Albania,1993,male,25-34 years,9,230100,3.91,Albania1993,1228071038,437,Boomers,Europe,0.611
52,Albania,1993,female,15-24 years,10,285300,3.51,Albania1993,1228071038,437,Generation X,Europe,0.611
53,Albania,1993,male,35-54 years,10,350300,2.85,Albania1993,1228071038,437,Boomers,Europe,0.611
54,Albania,1993,female,25-34 years,7,261800,2.67,Albania1993,1228071038,437,Boomers,Europe,0.611
55,Albania,1993,female,35-54 years,7,331200,2.11,Albania1993,1228071038,437,Boomers,Europe,0.611
