,country,gdp_per_capita ($),suicides/100k pop
0,Albania,251,1.5000000000000002
1,Albania,437,2.7133333333333334
2,Albania,697,2.681666666666667
3,Albania,769,2.705
4,Albania,793,6.452500000000001
5,Albania,796,2.6541666666666663
6,Albania,833,2.783333333333333
7,Albania,835,3.379166666666667
8,Albania,899,5.543333333333333
9,Albania,1127,4.726250000000001
10,Albania,1299,2.558333333333333
11,Albania,1451,4.218333333333333
12,Albania,1573,5.209166666666667
13,Albania,2021,4.883333333333334
14,Albania,2544,5.449166666666667
15,Albania,2931,0.0
16,Albania,3235,0.0
17,Albania,3863,5.4875
18,Albania,4359,3.4716666666666662
19,Albania,4387,0.0
20,Albania,4672,5.920833333333334
21,Armenia,357,4.254166666666667
22,Armenia,385,3.4050000000000007
23,Armenia,387,5.560833333333334
24,Armenia,426,4.315833333333333
25,Armenia,458,3.0875000000000004
26,Armenia,465,2.685833333333333
27,Armenia,515,2.0566666666666666
28,Armenia,530,2.858333333333334
29,Armenia,532,2.2849999999999997
30,Armenia,587,2.481666666666667
31,Armenia,640,3.822500000000001
32,Armenia,756,3.4266666666666663
33,Armenia,788,3.172500000000001
34,Armenia,928,2.785833333333334
35,Armenia,2310,3.6391666666666667
36,Armenia,3215,2.8083333333333336
37,Armenia,3366,3.2516666666666665
38,Armenia,3460,3.367500000000001
39,Armenia,3773,3.0475000000000008
40,Armenia,3775,3.7733333333333334
41,Armenia,3798,2.7483333333333335
42,Armenia,3829,2.9291666666666667
43,Armenia,3957,3.1233333333333335
44,Armenia,4142,3.084166666666666
45,Austria,9759,32.0675
46,Austria,13911,33.48333333333333
47,Austria,17415,33.82333333333333
48,Austria,18544,29.94333333333333
49,Austria,18663,29.80333333333333
50,Austria,23020,29.481666666666666
51,Austria,23808,29.622500000000006
52,Austria,25611,28.99666666666666
53,Austria,25848,21.825833333333332
54,Austria,25922,24.147499999999997
55,Austria,26450,28.47833333333334
56,Austria,27274,28.634999999999994
57,Austria,27772,23.076666666666668
58,Austria,28325,24.791666666666675
59,Austria,28722,23.358333333333334
60,Austria,28972,24.115
61,Austria,31660,28.554166666666664
62,Austria,32237,29.007499999999993
63,Austria,33889,21.421666666666667
64,Austria,38711,21.169999999999998
65,Austria,40367,19.604166666666664
66,Austria,42698,18.241666666666664
67,Austria,46484,16.218333333333334
68,Austria,49181,17.295833333333338
69,Austria,49218,18.109166666666667
70,Austria,50356,17.768333333333334
71,Austria,50979,17.219166666666666
72,Austria,53229,17.676666666666666
73,Austria,53923,17.624166666666667
74,Austria,54278,17.484999999999996
75,Austria,54294,18.0375
76,Azerbaijan,462,1.1900000000000002
77,Azerbaijan,476,1.4858333333333336
78,Azerbaijan,508,1.0033333333333334
79,Azerbaijan,590,1.5491666666666666
80,Azerbaijan,617,2.6266666666666665
81,Azerbaijan,631,0.8891666666666665
82,Azerbaijan,645,0.715
83,Azerbaijan,711,1.2008333333333334
